,sum,len
Je suis une maman,21908,8
Brasserie Fleurimont,21842,2
The Council of Canadians,21838,4
CBC Arts,21826,3
Dr Modestine Carole Tchatchouang Yonzo,21818,4
TVA Québec,21815,6
Island Jay,21811,5
Révérend Paul Mukendi,21792,6
Thunder Dungeon,21784,2
Department of Finance Canada/Ministère des Finances Canada,21768,2
የበለጸገች ኢትዮጵያ a Prosperous Ethiopia,21766,6
Librairie Iman Store Sénégal,21751,7
Pierre Lapointe,21726,3
The Burrard Street Journal,21689,1
Pali Bhupinder Singh,21682,3
Vancouver Island University International - World VIU,21679,5
American Muslims,21641,5
Warner Music Taiwan - 西洋,21625,7
Royal Newfoundland Constabulary,21619,6
Zoo de Granby,21608,3
Rick Pagano,21604,4
NAS,21596,5
India With Arnab,21571,5
Filipino Portal,21522,6
StanceEast,21496,4
Alfa Rococo,21486,3
Nintendo of Canada,21482,6
570 NEWS,21450,6
Neighbourhood Watch Brampton,21450,1
CTV Saskatoon,21413,7
LGBT,21344,7
Mélanie Maynard,21323,6
CFNR Network,21289,3
Tigre Géant,21277,7
Princessa Joyce,21268,6
Chatham-Kent Police Service,21239,2
Alcool NB Liquor,21236,3
Koolfmbarrie,21222,5
Kreesha Turner,21218,8
Vue d'un Camionneur,21208,1
Systemic Systems of Institutionalizationalism,21196,4
Futurs étudiants HEC Montréal,21195,1
CANADIAN TRUCKING MAGAZINE,21184,3
Monica Beets - Gold Rush,21168,5
Kaïn,21152,5
Start.ca Rocks The Park,21114,3
The Goddess Circle,21098,8
PtboCanada,21081,5
Revera Inc.,21060,7
Left Behind,21027,4
Junkyjoey,21025,5
Boreal Conservation,21023,5
Heeman's,21013,2
La vraie nature,20984,7
Riversol,20960,2
Dr. H. Bliss Murphy Cancer Care Foundation,20932,7
Q107 Calgary,20899,5
CGarchitect.com,20886,2
EDEN GEBRESELASSIE,20864,6
Billy Talent,20839,4
Alex Debogorski,20822,6
Nightmare on Film Street,20819,3
Doctor Nagi,20778,6
Drôle de Talent,20766,4
Ontario's Sunset Country,20764,4
Native American Apparel/ Alano Edzerza/ Northwest Coast fashion,20749,6
Espaces,20743,5
Alberta Canada Campaign,20739,4
Spotted celibataire,20713,4
Sony Pictures,20681,3
96.3 BIG FM,20660,2
Gerry Dee,20652,1
Hamilton Health Sciences,20650,4
Ror ta Mohtaja,20638,5
Quebec Offres Gratuites,20638,6
CTV's Live at 5,20628,6
Tim Ferriss,20609,7
Shane Mahoney,20573,2
FM93 Québec,20536,3
Mutant,20533,1
"I'm Not A Fan, I'm A Directioner.",20521,1
Nada Abu Omar,20517,4
"David Goudreault-Auteur, etc.",20496,1
104.3 - The Breeze,20490,2
Music Marketing Inc.,20482,3
Fondation David Suzuki,20447,5
GraceDigital,20418,6
Ontario Parks,20398,5
Angel Light,20394,8
MojoAnime,20346,5
United Conservative Party of Alberta,20310,6
Waleed Basyouni,20308,3
Benjamin Scheuer,20291,1
Empress of Dirt Creative Gardening,20290,6
Country Grocer,20278,8
Winners 2005 - Section Western Warriors - Amérique Du Nord,20254,3
Dilemma [conciertos],20234,6
Edkin,20185,5
LADI SINGH,20166,4
Magazine VÉRO,20123,3
GT Amusement Ser.,20101,4
CrossFire,20054,7
Reitmans,20054,5
SANDMARC,20045,1
Plamedie Katusevanako,20010,2
FUN SHUN,20007,6
Bill Blair,20003,5
La parfaite maman imparfaite,19939,6
National Arts Centre / Centre national des Arts,19933,6
Tourism Canmore Kananaskis,19923,6
Assassins Creed Valhalla,19914,1
Slimming Eats - Slimming World Recipes,19888,6
Andrew Wiggins,19867,2
Alaa Elsayed,19863,4
Diego Loyzaga,19854,6
L'actualité,19841,5
Ok,19800,1
Poetry and art by Roshan James,19745,4
"FM 103,3 - La radio allumée",19719,2
Meanwhile in Cape Breton,19701,6
Frank Lyman Design,19678,5
Sabra Canada,19631,5
Whistler Blackcomb,19619,5
Marina Orsini,19601,4
Vip numbers for punjab,19595,7
Karan kahlon,19577,5
Parichay,19572,5
Online Quran classes,19570,3
Wunder Tunisia,19560,3
Aritzia,19523,3
LifeSiteNews Catholic,19521,6
"Végane, mais pas plate",19505,3
Lamborghini Vancouver,19477,4
Vampiro,19453,4
Ottoman Imperial Archives,19452,5
Tamil Vision Int.,19437,5
Hinterland Outdoors,19407,3
Golden Features,19407,3
WonderFil Specialty Threads,19405,2
Paul Rodgers Official,19401,6
Brampton Focus,19394,1
Sudbury.com,19384,6
REAL HIP HOP,19378,5
City of Vancouver - Local Government,19347,2
STM - Mouvement collectif,19343,6
UR Team,19332,6
جود للمجوهرات,19312,7
Fajas Colombianas Premium,19295,6
Jobs in Pakistan - Jobs.com.pk,19293,7
Joël Legendre,19276,6
FSSS CSN,19271,5
Arbonne Canada,19267,4
Katherine Levac,19264,3
Akin Busari,19257,5
Slay,19217,1
BARRIELICIOUS FESTIVAL,19193,5
Louis-Jean Cormier,19191,5
Bengal Cats,19177,4
François Lachance,19176,4
HarperCollins Canada,19164,5
Gustav Klimt,19153,4
Library and Archives Canada,19138,5
Martin Levac,19134,7
Centre de services scolaire de Montréal - CSSDM,19088,3
Save-On-Foods,19068,5
CBC Kids,19066,5
DisneyBound,19062,3
DeeJay Nana,19041,5
Daniel Grenier - SOLO,19032,4
Dani and Lizzy,19011,1
عالم السيارات,19005,6
Bridal & wedding photography in lahore by myk studios,19000,3
Call It Spring - Philippines,18979,2
CIUSSS de la Capitale-Nationale,18974,5
Snowmobile,18969,3
La Maison Lavande,18959,3
Jerr allain,18956,1
Annie Martel,18946,1
Dank Memes Melt Steel Beams,18934,4
International Commission on Radiological Protection (ICRP),18855,1
Dairy Memes,18784,4
Eugène Allard cuisine et tendances,18779,5
Be Vancouver,18777,5
Fantasia International Film Festival,18761,1
104.9 myFM,18755,3
Maghar Alli,18708,6
Jennifer Valentyne,18680,6
Na Trolls Naa Istam,18679,5
Theory of a Deadman,18679,5
Jessica R. Durling,18668,5
Marie-Élaine Thibert,18616,4
Sépaq,18605,4
Manoir du lac William,18586,5
Buni,18574,5
Persian Poetry in English,18569,6
Mk Benhaj,18559,1
Armstrong Cheese,18557,5
Ganong,18542,4
Le Magnétisme Épigénétique,18536,3
Joshua Bassett,18503,1
TheRecipe,18483,1
Dan Aykroyd,18459,5
Monsieur Cocktail,18455,4
Hockey Québec,18449,4
Mordu de la Pêche avec Cyril Chauquet / Pêche XXL,18417,4
Scotiabank Hockey Club,18395,3
Lisa LeBlanc,18361,2
ICAO - International Civil Aviation Organization,18361,5
ContraPoints,18355,6
Royal Canadian Mounted Police in New Brunswick,18333,4
عضمة زرقــــا | تاريخ الاقباط,18333,4
Jérôme Ferrer - page officielle,18329,6
Alexander 23,18329,1
Theo Fleury,18302,3
Cavallo Hoof Boots,18269,4
Alberta Tornado Watch / Alberta Blizzard Watch,18243,4
Supercardio,18235,2
Union Des Kabyles Du Canada,18229,1
HELLO! Canada,18188,6
유승호,18185,6
K-Denk,18178,5
Benevity,18173,1
Sushi Shop,18140,2
DJ 5th Mars & Paradise,18132,1
Regina Leader-Post,18079,4
Warner Records,18073,3
Go Whistler,18065,6
WTFKeV,18065,5
Janelle Monáe,18038,4
BBQ Québec,17992,4
The Trudeau Follies,17984,3
Vancouver Island Buzz,17971,5
CrownRing,17970,6
Redneck Country,17966,2
Colin James,17956,6
Go Nawaz Sharif Go,17951,5
Feven Mesfin GIRMA,17883,5
Suldan Serar,17883,5
Te Wiki o te Reo Māori,17876,3
First Choice Haircutters,17863,4
Lucas the Spider,17856,3
Tik Tok DZ,17823,4
Quinte News,17810,6
Scores,17809,5
Radio-Canada Techno,17799,3
Soul Science,17792,5
زوم تيوب Zoom Tube,17755,2
Casa Grecque,17745,4
20th Century Studios Canada,17725,2
Restonic Mattress,17707,3
CHOICE42,17698,1
GM Authority,17695,1
The Calgary Sun,17682,5
NTDTV Canada,17653,1
Canadian Tire,17627,5
Spotted: Blainville,17602,5
Jurassic World Alive,17575,1
Plan International Canada,17573,5
Coastal GasLink Project,17534,4
Misery Signals,17518,6
Legendairy Milk,17517,5
Rugby Americas North,17500,4
Northern Metalic,17486,2
Recettes des amis,17463,2
Etienne Dano,17425,3
I Breathe I'm Hungry,17387,2
Can-Am On-Road,17387,4
Aubainerie,17383,4
Lancôme,17371,5
Alberta Blue Skies,17361,6
Endangered Ecosystems Alliance,17317,5
TekSavvy Solutions Inc.,17316,2
Assiniboine Park & Zoo,17307,5
BC Ferries,17297,4
BMO Vancouver Marathon,17279,1
Social Media Pakistan,17276,5
AstrA,17276,6
Classified,17262,4
Les Courses Virtuelles,17251,3
Loblaws,17250,5
Rémy Métailler,17224,5
iNFOnews Kelowna,17217,6
Aquarium du Québec,17196,1
Heinz Tomato Ketchup,17193,3
John Irving,17192,3
Subzero Ice Fishing Team,17166,4
Techno and Chill,17109,3
Terry Cahill,17096,6
Helping Homeless Pets,17083,5
Eye Steal,17063,2
Parti Patriote,17038,1
Congomikili news,17036,3
Afrisuper,17021,2
UFCW Locals 175 & 633,17004,2
Winnipeg Regional Health Authority,17003,3
BWSS Battered Women's Support Services,17001,2
Les 2 Rives,16993,5
Les Producteurs de lait du Québec,16983,3
Penguins Feed,16951,5
ICI Première,16946,3
Tyler's Dank Memes & Sick jokes,16944,3
Rick Ross,16938,2
Winnipeg Foursquare Gospel Church,16922,1
Ontario's Fire Fighters,16898,1
Forkly,16880,3
Sathyam Shivam Sundaram,16861,3
YUL Aéroport International Montréal-Trudeau,16856,4
BLUNTmoms,16815,3
Pioneer Energy,16800,1
Blackhawk Nation,16798,5
Roadrace,16778,5
RedFlagDeals.com,16776,3
Mr.Puffs,16757,4
HuffPost Canada Politics,16755,2
Chapman's Ice Cream,16746,4
Light Spectrum,16743,3
Daniel Bordman,16741,6
Dominique Anglade,16734,4
DoublageQc,16719,4
Joelle Desaulniers Styliste,16713,3
"Libre, Zen et Heureux",16700,5
Bilge,16636,1
Oil Respect,16634,2
Outlast,16631,3
Planette produits écologiques,16593,4
Tribute.ca,16592,5
Canadian Tire Jumpstart,16589,6
Matt MacIntosh,16572,2
Mathieu Arseneault Courtier immobilier Re/max,16566,4
Niagara Falls Review,16561,3
Pastor Joan Wairimu,16558,5
Quality Foods,16545,3
L'Échappée,16540,3
Sarah Harmer,16519,3
ChindiChitranna,16512,2
Vancouver Pride Society,16505,1
Ontario Ministry of Natural Resources and Forestry,16485,3
SnapChat - Feels,16461,1
HABS ET LNH,16461,6
McCain Foods (Canada),16449,5
Maxime Landry,16414,4
The time is now,16380,5
Le nutritionniste urbain,16344,5
GearSource.com,16343,2
Durham Regional Police Service,16335,3
Abby Sage,16328,1
The PropheC,16323,3
Niagara Regional Police Service,16321,5
Centre for Newcomers,16310,1
Serge Fiori,16290,3
Amboara Design,16272,2
NL Strong,16255,4
Hogwarts School Of Witchcraft And Wizardry,16252,1
Canadian Museum for Human Rights,16218,4
Cravings of a Lunatic,16148,3
Pina Bausch,16144,5
89.5 The Drive,16131,1
Fallout 4 New Vegas,16099,5
Wicca Spirituality,16091,3
Fresh Apparel,16082,3
અમૂલ્ય ગુજરાતી વાર્તાઓ.,16069,5
Pierre-Yves McSween,16048,4
Dynamixs GOLD 18K 21K 22K 24K,16035,3
Frankie Moreno,16006,6
Jean-François Roberge - député de Chambly,16004,5
Gottes Wort,15993,5
Journal Métro,15981,1
Minecraft: Pocket Edition,15951,1
AUJ,15944,3
Ex Sri Lanka Army  Patriot,15944,4
Festival Western de St-Tite | Page officielle,15916,1
Oxfam en Español,15913,1
Memes traduits en français sans aucun crédit,15902,6
ਅਮਰੀਕਾ ਦੇ ਪੰਜਾਬੀ,15897,1
Lets Talk Supply Chain,15858,2
ਰਘਬੀਰ ਸਿੰਘ ਭਰੋਵਾਲ Raghbir Singh Bharowal,15839,5
JaRadio Jamaica,15832,1
University of British Columbia,15826,4
IF,15756,6
Deciem The Abnormal Beauty Company,15753,4
Opera Sweet,15737,3
Barrie Police Service,15735,1
Log Homes Canada,15734,2
David Byrne,15733,2
durhamregion.com,15724,5
Madeline Merlo,15706,4
Blackhawks Feed,15695,3
The Telegram,15685,5
Goju Ryu Karate,15673,2
Participaction,15662,4
"Stéphane Blais, Libre-Penseur québécois",15657,2
Robert Savoie,15651,6
BarrieToday.com,15650,3
GuyaneseTing'zz,15624,3
tbnewswatch.com,15605,6
مدرسة فكرة Fikra school,15603,5
Saskatchewan Canada Campaign,15602,3
Chris Brown - Fan Club,15596,1
Upkar Sandhu,15576,4
Sol Zanetti,15553,4
Bonnie Crombie,15517,3
Cape Breton Island,15515,5
Children's Music with Nancy Kopman,15511,4
York Regional Police,15495,5
James Labrie,15493,4
Fairmont Jasper Park Lodge,15475,5
Philippe Laprise,15466,3
Guillaume Vermette,15462,3
Oodua Voice,15444,2
Random Relatable Quotes,15422,3
Hesen Sherif,15404,4
Together We Stand Foundation,15398,1
Charm Diamonds,15398,5
AkoMoto Observer,15362,1
Guillaume Lemay-Thivierge,15358,4
City of St. John's,15323,2
Omena,15322,4
Journal Le Canada Français,15302,2
K CAMP,15259,5
Hadjer interests,15239,4
The Real NHL Talk,15211,4
Rhythm Boyz Entertainment,15196,2
Fendi,15186,6
Um cafuné,15173,4
Radio-Canada Science,15155,4
Cette année-là,15147,4
World Gym Québec,15142,1
Face the Current,15134,3
Break Your Chains,15119,1
JANG KEUN SUK PH,15117,4
طرابلس وبس,15097,3
The Leap,15090,1
Le 15-18,15083,2
የአርቲስቶች ፔጅ ላይክ ሼር በማድረግ ቤተሰብ ይሁኑ,15081,6
The OIL DROP,15078,3
Michel Barrette,15033,3
Naïka,15015,2
Global Montreal,15011,2
Gad Saad,15003,6
Euphoric Herbals LLC,15002,1
Authentic Memes 4 Radical Teens,14996,4
Urdu Mom,14994,4
"Hippies, Music, Nostalgia and Musings",14983,1
Starbucks Canada,14973,4
Best Western Plus Dartmouth Hotel & Suites,14952,1
Raadiyoo Daandii Haqaa - RDH,14945,2
J. Cole Nation,14925,3
Le spotted de Saint Jean sur Richelieu & environs,14919,3
Big Dog 100.9,14889,5
Alberta Oil Sands,14886,5
Sudbury Problems,14861,4
"University of Guelph, Office of Graduate Studies",14846,2
Lenarr,14844,2
Asad Que,14842,4
ADDITION ELLE,14834,2
Le Grand défi Pierre Lavoie,14819,4
SecondStreet.org,14817,4
Unifor Canada,14813,4
Wale,14770,3
OilTube,14758,2
Dr. Patrick Isaac,14741,5
My OwnPlace,14738,4
Queen Froggy,14730,3
Khan G,14686,2
icidz.com  هنا الجزائر,14650,5
North Pole Hoops,14649,1
Kuya Barbie,14595,2
Indyy Sanghera,14583,3
Farmery Brewery,14577,3
Kamaljit Neeru,14557,5
Revista Rectum,14548,2
Bobby Bazini,14539,3
Brasil Acima de tudo e Deus acima de todos.,14517,2
La Cage - Brasserie sportive,14500,5
Mario Pelchat,14497,1
Mastermind Toys,14493,5
Banff Centre Mountain Film Festival,14491,3
Benny & Co.,14481,5
Marie-Eve Janvier et Jean-François Breau,14455,3
Journal L'Express de Drummondville,14444,4
La Planète s'invite au Parlement,14437,4
The Guardian,14430,2
Sophie Thibault,14422,5
Tout un matin,14420,3
Salt + Light Media,14398,4
Kia Canada,14393,4
هادي أزرق - Hadi Azrak,14387,2
Nardwuar the Human Serviette,14381,3
Come To Life,14339,5
United Trading Bamako,14316,2
Pop Culture and Nostalgia,14304,6
Andrea Horwath,14303,4
Historica Canada,14283,3
Rising Woman,14272,5
Dressed to Deliver Birthing Gowns & Nursing,14263,2
Suncor,14262,2
Jason Nixon,14237,4
Four Seasons Hotel Mumbai,14230,5
Jurassic World Fans,14222,2
Lethbridge Police Service,14218,4
Sash,14217,3
Dragfest,14210,1
Discovery Wildlife Park,14195,5
Salman Nazar,14190,3
Alyak 2000 Inc.,14166,4
96.3 Cruz FM,14164,3
Baytoday.ca,14155,3
Spotted: Saint-Hubert,14145,4
MédiAT,14143,4
Service de police de Sherbrooke,14128,3
kawarthaNOW.com,14107,3
Dennis King,14094,4
Clément,14079,1
Infectious Disease Network,14049,3
Paul Liggins Art,14042,4
Oraki,13987,3
ICI Ottawa Gatineau,13975,4
Cookie Bluff,13966,4
RBC,13960,3
Tomas Tatar,13929,5
Saskatchewan Roughriders,13928,5
Lollapalooza Paris,13921,1
Arrondissement de Rosemont - La Petite-Patrie,13907,3
Mighty Petz for loving pet parents,13901,2
Montreal Lake 14th Annual Walleye Derby,13876,2
Norco Bicycles,13871,5
احرار الشلف,13866,4
Femmes Exceptionnelles,13851,1
John Fluevog Shoes,13846,3
Rangers Feed,13816,5
PakistanTimes.com,13807,2
Gord Bamford,13806,4
Caufields Engraving,13800,2
Savourer par Geneviève O'Gleman,13798,3
Muslim Memes,13784,3
MANILA GREY,13779,3
Epicure,13766,5
Anthony Kavanagh,13761,3
Out of the Closet Cannabis Club,13758,3
Coast Protectors,13758,5
Omar Saad Photography,13728,2
Ambasciata del Canada in Italia,13709,2
CE Well,13708,2
Morgan Fucking Freeman,13704,3
Cynic,13700,3
Peter Jackson,13684,4
Sarnia Police Service,13679,3
Depression & Hope,13643,4
Toronto Wildlife Centre,13642,4
Western Horse Review,13640,3
Louis Dyer - Artist,13608,1
Jay-Jay Okocha Videos,13591,2
I still Love u,13572,2
Trudeau,13562,3
Seeding Square,13559,3
Spotted: Drummondville,13546,4
Chandra Lee Photography ~ Your Exclusive Newborn Photographer,13541,2
Les Galeries de la Capitale,13538,2
Oeno Gallery,13530,1
ATTITUDE - français,13499,4
Rental Escapes,13497,4
Donnie Dumphy,13492,4
NON à l'austérité,13485,3
Stag Design,13459,2
Schwartz Furniture,13457,3
HITS for HIIT,13444,3
APTN Investigates,13430,4
Saskatoon Teachers Association,13425,1
Native Shoes,13411,4
The Thunder Dungeon App,13402,2
Lennon Stella,13400,5
Dakota Bear,13394,2
White Spot Restaurants,13391,4
Adnan Ul Haq,13387,4
Gabor Maté,13378,4
Mon Ex,13378,4
J.Cole,13322,1
Redpath Sugar,13296,5
Cultural Action Party- Northern Canada,13295,4
Hamilton Police Service,13259,4
Virgin Radio Victoria,13254,3
Furious Pete,13242,3
Amour Du Chien,13233,1
El Careshimba,13203,1
Jack Broadbent,13197,3
Le Groupe Maurice,13193,1
Pure Flavor,13191,3
Clean My Space,13187,1
"95,7 KYK",13172,3
Apashe,13170,4
Hunters Bay Radio,13167,3
Lyzabeth Lopez,13160,5
Alain Pernot,13159,1
Movie Talking MF,13155,2
GoodLife Fitness,13151,3
CTV Lethbridge,13150,4
Strøm spa nordique,13132,3
Master's Duck Farm,13117,3
Syrian Arab Association of Canada,13117,2
Rachael Owojori Music.,13087,2
Odessa Poissonnier,13079,1
TELUS,13075,3
Renaud-Bray,13053,3
Spotted At Mac,13033,1
Ramakko's Source for Adventure,13002,1
Registered Nurses' Union Newfoundland & Labrador,12986,4
Home Hardware Building Centre--Lloydminster,12976,2
Janis Irwin,12953,4
Simon Marcil - Député de Mirabel,12946,1
Peace Arch News,12942,1
Praise Wedding,12928,5
Robert Spencer,12928,4
24-7 Intouch,12924,1
Taddart nneɣ,12919,4
BDNMB,12913,4
Costco Wholesale Canada,12906,1
Fadi Awad,12904,4
Dans l'oeil du dragon,12894,2
Student Energy,12891,2
CIMT Nouvelles,12879,5
Brandy Clark,12872,5
Brigade Anti Sardinards Canada,12849,3
Oomaar,12833,2
Québec Issime,12833,3
Langley Advance Times,12818,4
Cidre Lacroix,12814,2
Shambhala Music Festival,12811,2
American Standard Canada,12791,3
We R Conservative,12782,3
Mohdeep Mann,12771,3
La Terre de chez nous,12769,2
Lactantia,12744,4
Daisy Ejang,12718,2
Uniting Against The 1%,12695,1
AMP Radio,12690,5
Coalition Avenir Québec,12684,4
Christine Labrie,12681,4
Becoming Canadian,12681,3
Catholics for President Trump,12680,4
Lussier-Lussicam,12674,1
Chuck's Roadhouse,12669,3
Malu Trevejo,12655,1
Fabrikate,12651,3
SodaStream Canada,12649,4
Les Affaires,12629,3
Sportpat,12628,4
Naomi Klein,12628,4
Mandarin Restaurants,12608,3
สวัสดี เรามาจากโลกอนาคต,12608,3
ForestKids Early Learning - Forest School,12607,4
Andreanne A. Malette,12604,2
Journal L'Action,12598,4
dipndip,12580,3
Ride Whistler,12564,1
Kicks Alert,12561,2
Maxim Roy,12551,2
Kamloops Blazers,12549,1
پارسی انجمن,12540,2
ÉNERGIE 104.1,12528,1
Spotted: Concordia,12516,2
Ocean 100,12501,4
Godzilla 2014,12500,2
Éconofitness,12496,4
Trevor Daniel,12492,3
Pick Up Limes,12480,3
K Trevor Wilson,12459,3
Saints of Death,12459,1
spotted: Varennes,12451,1
Contre le Parti libéral,12426,2
No Compulsion,12426,3
BC Liberal Party,12414,2
Abwaan Abdilahi Sh Ahmed Carafaad Daadax,12411,1
Philadelphia Cream Cheese Canada,12393,2
Bentley,12386,4
Daily Dope,12386,1
Stéphane Poirier,12380,2
Rallonges Pour Cheveux - MesRallonges.com,12371,3
NRB TV,12357,3
Family Feud Canada,12355,3
Kings Distribution Inc.,12348,2
hockeyfights.com,12347,3
"Prof, ma fierté",12346,3
1310 NEWS,12324,4
Uplifted Life,12300,3
FIQ - Santé,12288,4
Capital GMC,12251,4
Marvel,12251,2
The Beat 92.5,12226,3
Canadian Military Family Magazine,12217,4
Ottawa Humane Society,12188,4
Voortman Bakery,12183,2
Bonne fête,12163,4
Spotted : Longueuil,12120,3
Marguerite Blais - Députée de Prévost,12120,2
Daniel Radcliffe,12118,4
Jérôme Couture,12114,3
Merlin Ragdoll,12111,5
Cabin Radio NWT,12092,4
Silly Cats,12077,5
Metro Ontario,12062,3
Jed Harper,12057,3
Orchestre Métropolitain,12040,3
La Vie en Rose,12039,3
EDDY GANJA,12018,3
Sensory Processing Disorder Parent Support  - Jeanette Loftus,12015,4
Clarins,11997,2
Tik Tok Ceylon,11984,2
Ria Mae,11983,4
Forces armées canadiennes,11974,3
QX 104,11971,4
Food Banks Canada,11971,1
Rexall Drugstore,11949,2
Smoked Birch,11948,4
ICLA Institut Canadien des Langues en Afrique,11937,2
ICI Ontario,11935,1
RIZK,11933,3
In My Coma,11918,2
Whitehorse,11909,4
AB3 Comedy,11905,2
Casey Ferrand,11897,1
وزارة الصحة الليبية - الحكومة الليبية المؤقتة,11890,1
Taimiyyah Zubair,11890,4
Albin Michel Canada,11889,3
Protest The Hero,11882,3
Brians Custom Sports,11880,1
iNFOnews Vernon,11880,4
Lindork - Linda Hoang,11877,1
TheCRY Movement,11870,2
Roméo Dallaire,11870,2
Emmanuel Dubourg,11867,4
Jenna Bentley,11863,5
EDUCHATEUR - Comportement Félin,11862,4
Best of Spongebob Memes,11841,2
Inbrampton,11824,3
Kodak Black,11787,3
Héma-Québec,11787,4
Scotty Sire,11784,2
Alexz Johnson,11784,1
Parc olympique de Montréal,11774,2
Tribulink France,11766,3
Lafleur,11752,4
Tetley Canada,11752,3
Oilers Feed,11748,4
Canadian Association of Social Workers,11727,4
Black Lives Matter - Waterloo Region,11725,1
The Social,11724,4
OLCN Chase the Ace,11724,4
Discover SciFi,11712,3
Manpreet Manna,11712,4
Portable North Pole,11696,2
ليبو لشحن السيارات من امريكا و كندا Libou Shipping,11694,4
MegaCon Convention,11693,4
Boutique Amimoc,11692,3
Québec solidaire,11673,4
Viaje a Canada,11666,4
يحيى وطارق عاشقين سوريا  Yahya and Tariq lovers Syria,11650,2
There Is No Ethical Consumption Under Capitalism,11645,1
Larrivée Guitars,11644,3
Rustic Sign Night,11616,1
CBC News: Marketplace,11608,2
Ruta N,11600,2
Classic Rock Z97.9,11587,3
Tropic Isle Living,11581,4
بنزيما سترايك BenZma Gaming,11581,4
Ontario Ministry of Health,11577,1
Gon,11569,4
Canac,11561,3
Yaakov Pollak,11560,2
Tourism Saskatchewan,11557,3
Tallpine Lodges,11547,2
LNH,11533,4
Unloaded Force,11518,1
Spotted : Saint-Georges de beauce,11518,2
Shanneyganock,11505,2
Erasing Hate,11500,2
David Mack,11497,4
Cthulhu,11489,2
Sudbury's Pure Country,11486,1
Kim Rusk,11483,2
Guto Penteado,11480,4
Collection Mini Coco Inc.,11478,2
Minimo motivation ludique,11475,2
Schesir,11471,3
Damien Robitaille,11440,4
Sports Experts,11433,2
Bon Jovi Stalkerblog,11420,4
Free & Easy Traveler,11412,4
The Surfrajettes,11407,3
Vague de concours - Créateurs québécois,11407,3
Cocooning Love,11390,2
I Love British Columbia,11387,4
Brian Lilley,11381,4
Coeur + AVC,11375,3
Rideau Canal Skateway,11374,3
Sipadan Kapalai Dive Resort,11374,2
Calgary Expo,11370,4
Centre de services scolaire de Laval,11360,2
580 CFRA,11357,2
Griselda Records - #gxfr,11355,4
Revenu Québec,11350,3
Being Libertarian - Canada,11337,3
Poches & Fils,11310,4
XtendaMix Inc.,11309,2
Aarsh Benipal,11308,2
Bouchard en parle - FM93,11299,1
"Greg Johnson, TornadoHunter.ca",11297,2
Scissor Sisters,11250,4
MTL Nouvelles,11247,3
Darren Fisher,11242,3
VINS FINS L'agence,11242,2
Fossil Realm,11219,4
The Baby Gang,11206,2
Creaze Q,11204,3
Sabrina Goodman,11156,1
Highly Suspect,11133,2
Nova Scotia Power,11129,3
not-your-average-mom.com,11114,2
Aux arts de la table,11107,4
RZIM Canada,11103,2
DossaniPlus Studio,11098,3
હૃદય મારું છે ગુજરાતી (Hraday maru che gujrati by hina kulal),11085,2
Those With Eclectic Taste,11055,3
ScoopNow Videos,11049,2
Pepsi,11024,2
Sub.Media,10981,3
Film - Fashion & History,10973,4
PurpleCrumbs,10965,3
Earth Rated,10953,2
Jurassic World: The Game,10946,4
The Curling News,10933,4
Bluewater Health,10924,4
Unleash The Archers,10924,4
Oh Hello Clothing,10913,4
Derina Harvey Band,10912,4
Shyju Mathew,10910,3
Charlie Angus NDP - NPD,10889,3
Erum,10879,4
StyleDemocracy,10870,3
Hertel,10868,2
GROHE Canada,10862,4
The Rational National,10858,1
شركة الدولي لنقل البضائع,10840,1
Association québécoise de prévention du suicide (AQPS),10836,4
Mohammad Reza Shajarian Fans,10827,3
Abel Maxwell,10827,3
Dil Se Aur Sirf Dil Se,10823,3
5e rang,10821,1
Collectif Canadien Anti-Islamophobie,10820,1
Toronto Times,10818,1
Adbusters,10785,2
Calgary Humane Society,10769,3
Evive Smoothie,10769,3
Kingston Whig-Standard,10760,3
Experiencity Canada,10754,2
Ludia Games,10750,1
Tourism Golden,10747,1
PSG Club Montréal,10742,4
Tamirat Tezera,10742,3
The Silk Demise,10736,2
Cowbell Brewing Co.,10732,1
Missing People of Canada,10721,4
"Yogi Bear's Jellystone Park, Woodstock",10719,2
Chamatkar Sandhu,10700,3
Guillaume Pineault,10696,3
Atisem Ghana,10693,2
Canada Debate,10692,1
Environmental Science Techniques,10687,3
Ministry Ideaz,10681,4
Harricana Aventures,10665,1
Gay Lea Foods  Co-operative Ltd.,10654,2
NIKI,10654,4
Distillerie 3 Lacs,10647,3
Jai Durga Maa!,10615,2
Creativas Ideas,10611,3
Saskatchewan New Democratic Party,10608,3
Mandole Algérien,10607,4
Digital Motion Events,10606,1
CAN - Canadian Arabic Network الشبكة الكندية العربية,10589,3
Mahée inc.,10585,3
K-97,10580,3
Québec City Tourism,10573,3
The Fabric Snob,10557,2
98.9 myFM,10556,3
Ce soir on char,10544,2
Forever Christmas,10541,3
Impact Dog Crates,10525,3
Provincial Health Services Authority - PHSA,10520,2
RPM,10489,3
Halloween 3-65,10485,1
iHeartRadio Canada,10483,3
Healing the Body,10478,3
Trailer Park Boys Memes,10477,2
Shahin Najafi,10476,3
Madreckless,10464,3
Peterborough This Week,10452,4
Nanaimo Beacon,10442,3
Brad Redekopp MP,10440,1
Destination St. John's,10433,3
The Great Lakes College of Toronto - Official,10417,1
LIVE 2 HUNT with Cody and Kelsy,10406,3
West African Football Academy SC,10393,3
ADM Sport,10391,2
