page,interactions,nb
LOF Defence Systems Ltd.,4233,1
Rocky Mountain Outlook,4232,2
Service d'incendie de Cocagne Fire Department,4231,2
SSENSE,4229,1
Sutherland Honda,4228,2
CryptoManiaks,4228,1
K.A.S.H,4227,1
"Four Seasons Resort The Nam Hai, Hoi An, Vietnam",4225,1
كلنا جزائريين Tous Des Algériens,4224,2
Cozz,4221,1
Danone Canada,4221,1
Brigitte Boisjoli,4218,2
Strong and Free,4217,1
Les Banques alimentaires du Québec,4217,1
Quebec maritime,4216,2
Epoch Times فارسی,4216,1
CanadaDocks,4213,1
TrendHunter,4213,1
El Rancho Latin Nightclub,4212,1
La chaîne musicale,4210,2
Burden of Truth on CBC,4208,2
Ramy Ayari,4208,1
Southland Mall,4205,1
Learn Socialism,4204,2
Alberni Valley News,4203,2
La Personnelle,4197,2
NB Patriots,4191,2
Scandinave Spa Mont-Tremblant,4190,1
Manotick Messenger,4189,1
Kindersley Mainline Motor Products,4188,2
Flordeco,4186,2
Scandinave Spa Blue Mountain,4185,2
Kings-Hants PPC,4185,1
Rumie,4182,1
๑۞๑ Ramadan Is The Month Of Forgiveness ๑۞๑,4181,1
RONA J.anctil inc.,4180,1
Omnimed,4176,1
Michael Levitt,4176,1
Roulottes Rémillard,4175,2
Thamizha,4174,1
Languedoc Wines Canada,4173,2
The African Children's Choir,4173,2
Sass Jordan,4170,1
Fanshawe College,4168,1
OSNL - Ottawa Senators Nation LIVE,4166,1
The Plaid Place,4163,1
The Miramichi Leader,4162,1
Vernon North Okanagan RCMP,4159,1
Peintures MF Inc,4158,2
The Edgy Veg,4156,1
3 Brasseurs Canada,4155,2
Revv52,4154,1
Español Buzz - Noticias,4150,2
Tips de madre,4150,2
The BC Underground,4149,1
Musée canadien pour les droits de la personne,4149,2
Klick,4148,1
Kamal Khera,4148,2
Paragon Cause,4143,2
Days Inn Canada,4139,1
Renaissance Ribbons,4136,2
Sam Wampler's Freedom Ford,4135,2
Ten Thousand Africans,4131,1
TCU Place,4130,2
Swipe Right,4126,2
The Wireless Age,4124,2
Robo Shankar,4119,1
Michael Mansour,4119,2
Digital Freedom Movement,4118,1
Truro Buzz,4117,2
Questions Réponses QcTop.com,4116,1
iNFOnews Penticton,4114,1
Positive Law Enforcement News,4113,2
Mongrel Media,4112,2
Mohamud Siraji,4110,1
Life Without Plastic,4110,2
Christian Hébert,4108,2
L'oiseau fabrics,4106,1
ICI Saskatchewan,4106,2
Mount Allison University,4105,2
évoilà5,4104,1
Frillu Cairo,4104,1
Kelowna Capital News,4102,2
Philippine News Canada,4098,1
The Fort Museum,4095,1
A Future Without Breast Cancer - Canadian Cancer Society,4095,1
HOPEthiopia,4093,1
Global BC Community Central,4093,2
Vessi,4092,1
Isadora B Enterprise,4088,1
Portraits de/of Montréal,4088,2
Guillaume Cizeron,4087,2
Sorrento restaurant,4086,2
Reggaeton Power,4081,1
Saint John Sea Dogs,4078,2
The Millcroft Inn and Spa,4077,1
Institut de leadership en gestion,4074,2
Westman Storm Chasers,4071,2
Real Mushrooms,4071,1
Manu Militari,4069,1
Axe Monkeys Vegas,4069,1
5 Minutes for Mom,4069,1
Jeff Catto,4064,1
IELTS Strivers _ Sudan,4062,2
California MoonRise,4061,2
Owen Sound Police Service,4061,1
Festival international du blues de Tremblant,4057,2
Noah Spa,4054,2
Allah The Almighty,4054,1
clek,4051,1
Housefly,4050,1
Vieux - L'Orbite,4049,1
Land Rover Canada,4049,2
Dawson Creek Mirror,4046,2
The Connected Universe,4046,1
Free Days With George,4042,2
JJ Shiplett,4041,1
Quartz Co.,4041,1
Live Nation Ontario,4041,2
Bloors online shopping,4040,2
Montréal joue,4039,1
Maahi,4037,2
CelticLife.ca,4037,2
Lakehead Public Schools,4036,2
Gaston L'officièl,4034,2
Community TV,4032,2
Niagara Region,4031,2
LKQ Canada - Pintendre,4027,2
les amis du FROMAGE,4027,1
Mississippi Coast Crime Stoppers,4024,2
Covenant Health,4022,1
Easthill Outdoors,4022,2
Lexus Laval,4022,2
Your Favorite Enemies (YFE),4020,2
Terra Talking,4020,1
"Ross Wetmore-Minister of Agriculture, Aquaculture and Fisheries. PNB",4020,3
Aurora Winter Festival Toronto,4019,2
Reset - Ryan Tram Music,4014,1
iamj.i,4013,1
Kamal Yadav,4012,1
Peter Ormond Green Party,4009,1
TP-Link,4008,1
Juniper BBQ Scraper,4006,1
Surrey604,4005,1
Théâtre Capitol Theatre,4004,2
RetroFestive Pop Culture & Christmas Store,4003,2
YUI / Flower Flower,4001,2
Vitaly,3999,2
Stephanie Reddicopp,3998,1
Lammle's Western Wear & Tack,3996,2
Polqcnews,3996,1
Toronto Boat Show,3990,1
Halifax Mooseheads,3987,2
St. Simeon Melkite Catholic Church Windsor كنيسة القديس سمعان العمودي,3987,2
Banting House National Historic Site of Canada,3987,1
Babybel,3986,2
Acejax,3985,2
3M,3984,2
Chanello's Pizza,3984,1
Watchuseek,3983,1
Cataraqui Centre,3982,2
Blake Richards,3982,2
Extriniti.com - Video Games & Cover Music,3981,1
Quatre95,3977,1
Afrique Expansion Magazine,3976,2
Barundikazi - MFFPS Burundi,3975,1
Tracy Lee Stum,3975,1
J.C,3975,2
Misericordia Health Centre Foundation,3972,1
LetsStopAIDS,3970,1
Downtown Halifax,3970,1
Comethazine,3968,2
Mirsad Bektic,3968,2
RoadBikeReview,3964,1
Southlake Regional Health Centre,3964,2
It's All About Women,3963,1
Beau's All Natural Brewing Co.,3961,1
Nigerians Online Community,3957,1
Moisson Rive-Sud,3957,1
London Lightning Basketball,3956,1
Wexit British Columbia,3951,1
Canada Centre Foundation in Myanmar,3947,2
Sonia Sidhu,3946,2
Conseil national des chômeurs et chômeuses,3945,1
Chef Jonathan Garnier,3942,2
توكو للديكورات,3942,2
Justin Trudeau is Ethically Challenged,3936,1
Reliable Gun Vancouver,3935,1
Flipp,3932,2
MK KOMI,3932,2
Stef Sanjati,3930,2
ZippyJamz,3929,2
Thorold News,3927,1
Natasha Chiam Writes,3926,1
Penticton Lakeside Resort and Conference Centre,3924,1
Edmonton Explorer,3922,1
Manitoba Tornado Watch / Manitoba Blizzard Watch,3922,2
Thorin Loeks,3921,2
Fred Penner,3920,1
Vox&Hops,3919,1
Arif Virani,3919,2
Lenny Breau,3919,2
Garden Culture Magazine,3918,1
Conseils de famille,3918,2
EPCOR Canada,3916,1
Jake Shears,3916,2
Doug Ford's spicy meme silo,3914,1
Université de Sherbrooke,3914,2
Cliff Stevens,3914,2
Extreme Couponing Mom by Aimée Geroux,3913,2
Arjan Singh Bhullar,3911,2
Momentum Pictures,3908,1
Bouquiner avec Claudia Larochelle,3907,2
Galaxy Psychic Fairs,3907,2
Thunderbolt,3906,1
Benjamin Bridge,3905,1
The Holly Springs Disaster,3905,1
Flat Earth International Conference,3902,2
TextNow,3902,1
The Wolf Pack,3900,1
Aerial Photography Mayo,3900,2
Raw,3899,2
Moose Jaw Police Service,3897,2
Jesusvr Movie,3895,1
Enima,3894,2
CooperVision SA,3893,1
Joel Harden,3893,2
The Peanut Butter Falcon,3891,1
Mont-Édouard,3890,2
Cambridge Memorial Hospital,3887,1
Hôtel Suites Lac-Brome,3885,1
Canadian Sporting Arms and Ammunition Association,3883,1
Public Interest Alberta,3882,2
Dog Blood,3882,1
Ontario Provincial Police - Central Region,3882,2
HSBC Canada Sevens,3882,2
Amir Brandon Music,3881,1
VIVA Lifestyle & Travel,3880,1
Educational Technology,3880,2
Jaymes Young,3878,1
WACAD,3876,2
Wayne Gretzky Estates Winery & Distillery,3874,2
CASA,3874,2
E.D.SMITH,3872,2
Woketown,3872,1
Becky Han Music,3871,2
The Donkey Sanctuary of Canada,3870,1
Scouts Canada,3870,2
Norwood Mobila Sågverk,3869,1
Mont-Vidéo,3869,1
Pro Gym Montréal,3868,1
KEKAL,3868,1
Jessys Pizza Spryfield,3867,2
"Gurdarshan Gary ""Saint Lion"" Mangat",3866,2
Emergency Ready in Canada,3864,1
Teg Grewal,3863,2
Une pensée positive par jour,3862,2
Nations Creations,3861,1
Redesigned Fashion,3859,1
92.1 ROCK,3859,2
Radio Enfer,3858,2
SweetSpot Labs,3858,2
Canadian Crusader's The Resistance,3853,1
Rocky Mountain Chocolate - PG,3853,2
North Stream,3852,1
Colin Carrie,3851,1
Canadian Songwriters Hall of Fame,3851,2
The French Couture,3850,2
Observatoire des tout-petits,3850,1
AVA Recordings,3847,1
"All Saints University School of Medicine, Dominica",3847,1
Istack Training,3845,2
Chandra Arya,3844,1
CollingwoodToday.ca,3841,1
Toronto Sportsmen's Show,3840,2
Shining Waters Family Fun Park,3839,1
Uniglobe Phillips Travel Dawson Creek,3838,2
Tourisme Rougemont,3838,2
Sharky's,3838,2
Foothills Fire Department,3830,1
Société de sauvetage,3829,1
Remorquage Provincial Jacques D'Anjou Inc,3827,1
Ambleside Retro Music Festival,3823,1
Ontario Northland,3823,2
Canadim - Canadian Immigration Law Firm,3821,1
Shred Kelly,3819,1
Stollery Children's Hospital Foundation,3818,1
Eric Cressey,3816,2
Andrew Cassara,3815,1
Child and Nature Alliance of Canada,3815,1
THE MAHONES,3811,2
Oak Bay Beach Hotel,3811,1
KnowRoaming,3810,2
Stella Luna Gelato Café,3805,1
Mott's Fruitsations Canada,3805,1
Flying U Ranch,3803,2
Hubert Photo Vidéo,3802,1
Sarnia Fire Rescue,3802,1
OneClass,3800,1
Inverary Resort on Baddeck Bay,3795,2
I Still Believe Movie,3794,1
Ville de Val-d'Or,3792,1
Gran Lamanna,3787,1
Northcott Fabrics,3785,2
Wilfrid Laurier University,3785,1
Sépaq - Chasse et Pêche,3784,2
The Reklaws,3783,2
Taiwan in Canada,3782,1
The Market Gardener,3777,1
Genacol,3775,2
Hatiras,3774,2
Awwnimals,3774,2
KORITE Ammolite,3772,2
Listowel Banner,3769,1
Allanah Jeffreys,3768,2
Stratos Pizza - Poutine,3766,2
"Lanaudière-Mauricie, Le Québec Authentique",3766,1
JACK & JONES,3763,2
New Canadian Media,3762,2
Village Arbre-en-Ciel,3760,1
PUPA Milano Canada,3759,1
Drake Jensen,3758,1
من أجل قانون لمكافحة الفقر والاستبعاد الاجتماعي,3757,1
Lynsay Sands,3755,2
Schwarzkopf,3754,1
Spirit of the West,3754,1
Les Toiles Décor,3753,1
Remorquage SOS Saguenay,3750,1
Abbotsford Centre,3750,2
Néomédia Valleyfield,3748,1
Integrity RV,3747,1
PMT ROY Assurances et services financiers,3747,1
Black In Canada,3745,1
FlipGive,3744,2
Damien C. Kurek,3743,1
David Foster Foundation,3741,1
Timmins Police Service,3739,2
Hablaha Guurdoonka,3739,2
Galleria Inglewood,3737,1
Music 4 Cancer,3734,2
Dove Daruler,3732,2
Melodi Bozkurt,3731,1
MLinza farms,3730,1
Ayanis,3730,1
IRIS - Institut de recherche et d’informations socioéconomiques,3728,1
Canon Canada,3728,2
"Embassy of Canada to Romania, Bulgaria, and Moldova",3728,1
Empire,3726,1
Heidi Hope,3724,1
La Tienda de Frida & Chelsee,3723,1
Aap North America,3722,1
The NeuroScientist,3721,2
Sophie Pelletier,3721,1
Hawal Times هەواڵ تایمز,3720,1
VITA Daily,3718,2
Learn French at Lawless French,3718,1
Canada's Drag Race,3717,1
Memphis Cabaret,3716,1
The Heels,3716,1
Fourtitude,3715,2
Platinum AutoSport,3715,1
Mountain Life,3713,1
100.1 The Moose,3712,2
Make Fabulous Cakes,3712,1
Ming Pao Daily News ( Canada Edition),3709,1
Ontario Equestrian,3709,2
Retirement Concepts,3707,2
The Damn Truth,3707,2
St. Thomas Times-Journal,3707,1
Montréal en Lumière,3706,2
TheGunBlog.ca,3705,1
The Free Speech Club,3703,1
City of Coquitlam - Municipality,3703,2
City of White Rock,3702,1
Coady International Institute,3699,1
Doug Savage Comics,3699,1
C5 Rodeo,3697,1
Classic Rock Videos & Retro Hits,3695,1
My Miaou,3695,1
Alberta Freedom Alliance,3695,2
Ontario Federation of Anglers and Hunters,3695,1
Lab Manager,3694,2
Gone With The Wind Fans,3693,2
Carla Qualtrough,3692,2
Spotted : Laval - Pont Viau,3691,1
Georgina Jolibois for Desnethé-Missinippi-Churchill River,3691,2
Walleye Central,3690,1
Amerispa,3687,1
Bengal Cat World,3687,2
JUST for FUN,3687,2
British Columbia Magazine,3681,2
Gentle Fawn,3680,1
Canadian Pride (Made In Canada eh),3680,1
Thomas Gauthier,3677,1
La Balade Gourmande,3676,2
RIS,3675,1
Ammar Al Koofe World,3674,2
Webster LS,3671,1
L'International Gymnix,3671,1
True Hamiltonian,3670,2
OUTtv,3670,2
Chance Carter Romance,3668,2
Olympia Sports Camp,3667,1
Whirlpool Jet Boat Tours,3662,1
Stéphane Bergeron Montarville,3661,2
Pardon My French,3661,1
Mathieu Traversy,3661,2
Penticton Herald,3655,1
Whitecap Entertainment,3653,1
AP Dhillon,3652,1
George Caceres,3651,1
Chase the Ace Wikwemikong,3651,2
유럽축구 이적시장 뉴스,3650,2
Lauren Haze Music,3649,2
Outlet Collection Winnipeg,3649,1
Librairie Olivieri,3647,1
Chop Steakhouse & Bar,3646,2
Focus on the Family Canada,3645,2
Hermo,3644,1
Top Dopico’s BBQ Donut,3643,1
Lush Cosmétiques Canada - Français,3642,1
Canine Valley,3642,1
Geniale Gadgets,3636,2
Contact Festival,3634,1
Belleville Senators,3634,1
VETS Canada,3632,1
Saskatoon EX Official Fan Page,3631,2
Daði Freyr,3626,1
Fykis,3625,1
Deadpool is a Savage,3624,2
Domaine Château-Bromont,3623,2
"Mel Goyer, Coach PNL et conférencière",3620,1
Okanagan Military Tattoo,3620,1
Woofstock,3618,1
Centre Circuit - CHU Sainte-Justine,3615,1
Sucrerie Bonaventure - Cabane à sucre à Mirabel,3614,1
Hôtel et Suites Le Dauphin Drummondville,3613,1
Mireille Pruneau,3612,1
Creative Scrapbooker Magazine,3609,2
Desjardins Entreprises,3605,1
Journal Le Manic,3603,2
« OSE ETRE TOI - Be You and NO ONE ELSE. Nerline ».,3602,1
North Bay and District Humane Society,3601,1
Cochrane & Area Humane Society,3600,1
National Union of Public and General Employees,3599,1
Eeyou Istchee Baie-James - région touristique,3597,2
MUTEK Montréal,3596,2
Vip Glam,3595,2
Desirebykatiavandiss,3595,1
Nomads hemp wear,3595,2
Qikiqtani Inuit Assoc.,3594,1
Canton,3594,2
Manning Park Resort,3592,1
Royal LePage Blanc & Noir,3592,2
Samuel Ouga,3590,2
M'entends-tu?,3589,2
Komik TV,3589,1
Oh She Glows,3588,2
Burnaby NOW,3587,1
St Laika's,3583,1
Taher Mamelli طاهر مامللي,3583,2
Dilawri Group of Companies,3580,2
Waterloo Taxi,3578,1
K'ron,3578,1
SciencePorn,3574,1
Nathalie Roy,3571,2
Laurence Nerbonne,3570,2
Newfoundland In Pictures,3567,2
Premium Label,3566,2
West Grey Police Service,3565,1
Larry Flemming - former Conservative candidate for Labrador,3563,1
Go RVing Canada,3562,1
Les Becs Sucrés-Salés,3561,1
"Montreal, by MontrealOfficial.ca",3561,1
Kazal Billah,3560,1
4th Canadian Division - 4e Division du Canada,3555,1
Valley East Days,3555,1
Last Post Fund - Fonds du Souvenir,3554,1
inlingua Vancouver,3553,2
Les Trucs de Annie et Vicky,3552,1
Taylor Bachrach,3552,1
Callbecks Home Furniture and Appliances,3547,1
Tillsonburg Fire & Rescue Services,3546,1
1642,3546,2
GardaWorld,3545,1
UCC National - Ukrainian Canadian Congress,3545,2
Quebec Redneck Bluegrass Project,3545,2
McCann Professional Dog Trainers,3542,2
Kingston Health Sciences Centre,3541,1
Basho Restaurant & Lounge,3540,1
Netfox Communications,3539,1
Julie Dzerowicz,3539,1
Tourisme Cantons-de-l'Est,3538,2
Barry Weiss,3538,1
Lady Burgundy,3537,1
Drew Gregory,3537,2
Glup,3536,1
SynerG Media,3534,1
Michael Jordan #23,3531,1
Pierre Jobin,3530,1
TotallyADD,3529,2
Erneys Technology HUB GH,3529,2
The Movie Mill,3529,1
Signé Garneau,3528,2
BD Diesel Performance,3525,2
Meecal,3525,1
Ontario Health Coalition,3519,1
Boom Desjardins,3516,1
Aquatica Digital,3515,1
Le Journal de Lévis,3512,1
Animalogic,3512,1
The Fishin' Hole Canada,3510,1
ArcheryTalk,3509,1
Odreii,3509,1
Coextinction,3507,1
Lakehouse,3505,1
Alberta Strong & Free,3502,1
Julian Austin,3502,1
Thane Dunn and the Cadillac Kings,3501,1
C. Isabelle & fils inc.,3492,1
ROYER,3491,1
Blue Mountain Village,3491,2
Peninsula News Review,3489,1
Humane Society Yukon,3483,1
Les Hôtesses d'Hilaire,3482,1
City of Kelowna,3481,1
Foods & Wines From Spain,3479,1
Dan Quibell - The Bacon Experiment,3478,2
WWF-Canada en français,3477,1
K-Rock 105.7,3476,2
Service de police de Saint Jean sur Richelieu,3475,1
Calgary Harley-Davidson,3475,1
The City of Red Deer,3474,1
Life Radio CJFY,3473,2
Mela Teeyan Da,3473,1
York Region (The Regional Municipality of York),3471,1
Siksika Nation Administration,3471,1
Mystery Hill,3470,1
FestiVoix de Trois-Rivières,3465,1
Boulangerie du Royaume Inc.,3461,2
Makeup for Melanin Girls,3461,1
Marie-Claude Nichols,3460,1
Code de plomberie,3459,1
Autismo e Ensino,3459,1
Université Laval,3459,1
FRIGID,3458,1
Moncton Wildcats,3457,2
Scarborough Town Centre,3451,2
British Columbia Search and Rescue Association,3448,1
Big Splash Water Slide Park,3447,2
CHVSE,3447,1
Canada-Hong Kong Link,3446,1
Giving Tuesday Canada,3445,1
Christine Normandin - députée de Saint-Jean,3445,1
Yamnuska Wolfdog Sanctuary,3444,1
L'antichambre,3444,1
Bureau de la concurrence Canada,3444,1
ENAP-École nationale d'administration publique,3442,1
Messie Adventures,3441,1
Canada's Smartest Person,3441,1
Embarcadero Technologies France,3440,1
Dunvegan Gardens (FSJ),3440,1
Nanaimo-Ladysmith NDP,3439,1
As Lembrancinhas de Casamento,3437,1
Robbie G,3436,1
Praabh Neear - PNM,3435,1
Tribal Canoe Journeys,3434,2
Zion National Park Lodge,3434,1
McGill Faculty of Education,3432,1
Merry About Town by Merry Kuchle,3431,1
Dirty Dogs,3431,1
Centrale des syndicats du Québec (CSQ),3431,1
Not In My City,3430,1
Jonats Pogi,3430,1
Moonlite,3428,1
Kutvek Amerika,3427,1
Clinique d'Orthophonie Québec,3425,1
Daraja Beauty supply,3425,1
True North Log Homes,3423,1
Panago Pizza,3422,1
L'Académie,3420,2
Pourvoirie Nemiskau,3420,1
Maisie Peters,3420,1
Najuah,3418,1
LEO37,3417,1
Wi-z Grey,3415,1
Alisha Newton,3415,1
Winnipeg Symphony Orchestra,3410,1
Creative Cha Cha Cha,3409,1
Keith Merrow,3409,1
Uriage,3408,1
Citytv,3408,1
iA Groupe financier (Industrielle Alliance),3406,1
Raif Badawi,3403,1
Shear WX Severe Weather Chasers,3402,2
Crowne Plaza Fredericton-Lord Beaverbrook,3401,1
Vernon Morning Star,3401,1
Shekeb Osmani,3400,1
Aquarium et Centre Marin du Nouveau-Brunswick,3399,1
Irish Times Pub,3393,1
Marc Demers,3391,2
MiningWatch Canada,3391,1
Serge Bonin citoyen engagé pour le Québec,3390,1
Bay Ferries and Northumberland Ferries Limited,3389,1
Valhalla Movement,3388,1
Central Alberta Co-op,3386,1
Red & Honey - Beth Ricci,3380,1
Swift Current Broncos,3380,1
Cleveland Equine,3380,1
Tandem.mu,3379,1
Wapikoni mobile,3379,1
ClicNpark,3378,1
Nova Scotia's Pure Country,3378,1
Le Baluchon Éco-villégiature,3376,2
bysTaXx,3375,2
Festival Hommes Forts Warwick,3373,1
ARPAC,3372,1
Terry Posthumus Music,3372,1
The Ultimate Health Podcast,3372,1
WIFTA - Women in Film & Television Alberta,3370,1
Big Country 93.1 FM Grande Prairie,3362,2
Les Petits Frères / Province de Québec,3361,2
Kevin Sorenson,3360,1
106.9 FM Mauricie,3358,1
Géoparc mondial UNESCO de Percé,3357,1
Québec sur demande,3355,1
Ouvrez les guillemets,3354,2
Navraj Raja,3353,1
The Great Awakening.ca,3353,1
Steel n Ink Guelph,3352,1
Kanwal Ali,3352,1
Inside World Aviation,3352,1
Baseball Québec,3352,1
Lexus Enthusiast,3352,2
Canadian Environmental Law Association (CELA),3352,1
Crown Lands,3351,2
Canucks Autism Network,3350,1
Cowboys Roadhouse,3349,2
UNI-T,3349,1
VanHack,3347,1
Confederation Centre of the Arts,3347,1
Coleman Hell,3347,1
Idle No More Toronto,3346,2
Salon national de la femme de Montréal,3345,1
Most Wanted Pawn,3345,1
Bruce Oake Recovery Centre,3345,1
Chris d'Entremont,3344,1
Toronto Police Dog Services,3343,1
MYCOLLINGWOOD.CA,3340,1
City of Cambridge,3339,2
"Derek Sloan, Member of Parliament for Hastings-Lennox & Addington",3337,1
Luna Pizzeria,3337,1
Jardins Gamelin,3334,1
Boutique Planète Bébé,3331,1
Sors-tu.ca,3330,1
The General Da Jamaican Boy,3329,1
Terri-Lynn Williams-Davidson,3328,1
The Range at Urban Tactical Brantford,3327,1
Boating Ontario,3327,1
Arrondissement de Rivière-des-Prairies—Pointe-aux-Trembles,3327,1
North Vancouver RCMP,3326,1
Bloomex Canada,3324,2
Kevin Rempel,3323,1
Lucara Diamond Corporation,3322,2
The Mysterious Package Company,3322,2
Cégep de l'Outaouais  - Page officielle,3322,1
Amarjeet Sohi,3322,2
The Justin Martin Band,3321,1
Niki Ashton,3321,2
$:انا هيك بحبك,3320,1
Type-ZERO,3319,1
Around the Globe Travel & Tourism,3319,2
Guelph Greens- The Green Party in Guelph,3319,1
Canadian Men's Health Foundation,3317,1
Bryanna Trece,3317,1
"Bulles, Whisky & Cie",3315,1
Mike Smith (Bubbles),3315,1
Kustermans Berry Farms,3314,2
Travailleuses et travailleurs du secteur public,3314,1
ARBORcore Designs,3311,1
Victory Meat Market Ltd.,3308,2
Le Zénith Promutuel Assurance,3307,2
Rhéal Fortin,3307,1
Eagle Vision,3306,1
Meubles Marchand,3305,2
L'Orygine,3301,1
Ex Machina,3300,1
Lottie-Da Designs,3298,1
The Music Hall Concert Theatre,3297,1
YYC Pet Recovery,3296,1
Kalama-Mbedd.com,3296,2
أمّتنا,3295,1
Women's Shelters Canada / Hébergement femmes Canada,3295,1
Ruth Dente,3292,1
Téléfilm Canada,3292,1
Panhandle-Plains Historical Museum,3289,1
Universidad VERITAS,3289,2
Mike Bernier - Peace River South,3289,1
Audi St-Bruno,3286,1
Miramichi Now,3286,1
Discover Saint John - Découvrez Saint John,3286,2
United Conservationists,3284,2
Boutique Le Local,3283,1
Activia,3280,1
Mont-Tremblant,3280,1
Christian Sbrocca,3278,1
Dr Mahdi Multispeciality Hospital,3278,2
Mario's Pool and Spa Inc.,3275,1
Gordon's Park,3274,1
THAI EXPRESS,3274,1
Reel Youth,3272,1
Si on s'aimait,3272,1
Blue Roof Distillers Ltd.,3272,1
Sleep Country Canada,3270,1
Royal Canadian International Circus,3270,1
Brenda Jackson,3270,1
Fresh Attitude,3269,1
Good Morning Québec - Radio X,3269,1
Elderbrook,3269,1
Opera on the Avalon,3268,1
Li'l Woodzeez,3267,1
Docteur À Domicile,3264,1
MP David Yurdiga,3263,1
Carrefour Angrignon,3263,2
Energeticcity.ca,3262,1
JMS LAW,3259,1
Boom 96.7,3257,1
CBC Reclaimed,3257,1
Michaël Girard,3257,1
Nak'azdli Whut'en,3256,1
Microbrasserie St-Pancrace,3256,1
Ghost Ship Media,3255,1
Mystic Meditation,3254,1
First Nations Forestry Council,3254,1
Opaskwayak LED Smart Farm,3253,1
Bishop's University,3252,1
Papa Baldy's Pizza,3251,1
Marcel the Frenchie,3251,2
Ace Canada,3250,2
Bikramjit Punjabi Zindabad,3250,1
Piècesvertes.com,3249,1
Steinhart Distillery,3248,1
"CHGA FM, la radio de la Vallée-de-la-Gatineau",3247,1
"حراك "" السلام الآن "" .",3247,2
Peterborough Chamber of Commerce,3247,1
Les Rôtisseries Benny,3244,1
Oceanview Home & Garden,3244,2
Collège LaSalle | Tunis,3242,1
ATB Financial,3241,2
Érable du Québec,3240,2
American Islam,3240,1
Clinique vétérinaire Anne-Le Seigneur,3239,1
Unwrapped Life,3237,1
Cool 100.1,3236,1
The MIsty Mornings Boutique,3236,1
Amy Metcalfe,3235,1
North Bay Regional Health Centre,3232,1
Manitoba Animal Alliance,3232,1
MDBriefCase,3231,1
Rallye Motoplex,3230,1
ADISQ,3226,1
TVA Sports / RDS memes,3226,2
99 Wolves,3225,1
Funny Offensive Meme's,3224,1
Mark Holland,3223,1
North Shore News,3217,1
Sirreal,3215,1
Ibex Off Road Videos,3210,1
Olivier Ford,3209,1
Jaguar Canada,3208,1
Gaye sélect,3208,1
Select Surfaces,3206,1
Amanda Diaz Photography,3206,1
J-Soul,3205,1
Mãe Diferentona,3205,1
Triskelion Ontario Provincial Council - Tau Gamma Phi / Tau Gamma Sigma,3202,1
The Lord Nelson Hotel and Suites,3201,1
Red Deer Ribfest,3200,1
Nightmare Toys,3197,1
"Andrew Weaver, MLA Oak Bay-Gordon Head",3196,1
Basant Motors,3195,1
ســامر الســـعيد SamerAlsaeed,3195,1
Visa USA Now,3193,1
Island Bohemia by Gisela Weldon,3193,1
CIIB Canada - Canadian International Information Board,3193,1
King Of The Dot Entertainment,3193,1
The Jerry Cans / Pai Gaalaqautikkut,3192,1
Parkland Garden Centre,3191,1
Red Works Photography,3189,1
Metis Nation of Alberta,3189,1
Sugarlash PRO,3188,1
Minhas Craft Brewery,3188,1
Stomp Records,3187,1
Abacus Brands,3183,1
LIVE MED AID,3182,1
Lil Helper,3182,1
Les Maltcommodes,3181,1
Prabmeet Singh Sarkaria,3181,1
Jet City Records,3180,1
Pizza Shack,3180,2
Whitefish River First Nation,3178,1
Hôtel de l'ITHQ,3178,1
Elio Alcindor,3177,2
Antistax Canada,3174,1
Ameublement BrandSource Gilles Boisvert,3174,1
Wind Concerns Ontario,3173,1
شمسة للمفروشات Shamsa Tex,3173,1
The MacQueens,3172,1
Centre Juno Beach / Juno Beach Centre,3171,2
Graal-Tchad,3169,1
Fortress of Louisbourg National Historic Site,3165,2
Zombie Slayer,3164,1
NOGU,3163,1
Amanda Rach Lee,3160,1
Canadian Science,3160,1
Tumbleweeds,3158,1
City of Quesnel,3155,1
We Outspoken,3154,1
Spooks North America,3152,1
Ferro,3150,1
Owls,3149,1
Animal Rights Toronto,3148,2
Wolves At Midnight,3147,1
Jonah Rocks Official,3147,1
Orville Peck,3145,1
Amantej Hundal,3143,1
"Love Food Hate Waste Canada / J’aime manger, pas gaspiller Canada",3143,1
Destination Baie-St-Paul,3142,1
Festival Western de Guigues,3142,1
"Country Pop 103,1",3141,1
SAFFRON Centre Ltd.,3140,1
Hayley Elsaesser,3139,1
Gabrielle Caron,3132,1
J&B Cycle & Marine,3131,1
FLOW 93-5,3130,1
Divinity,3129,1
We The People - #UniteandAct,3127,1
Twin Flames,3126,2
Parkwood Estate National Historic Site,3125,1
Wolf Lake Wilderness Lodge Ltd.,3121,1
Thomas Levac,3119,1
Gazeta Letrare,3116,1
CIBC,3112,1
Canus,3110,1
Heart & Stroke NB,3109,1
Vancouver Island North,3107,1
Uplift Photoshop Actions,3106,1
Dr. wael alkasem Neurosurgery & Spine surgeryعيادة جراحة العمود الفقري,3105,1
MONDSELLE,3102,1
Tyler Simmons,3100,1
Métis Music - The Boyer's,3099,1
GRADOT NA KONZULITE,3099,2
Spirit Spa,3096,1
NeoQuebec,3095,1
Mike Schreiner,3095,1
All Things Annapolis Valley,3093,1
Craig Street Cats,3091,1
Savvy Shopaholix,3089,1
Charlotte Lebreton illustration,3089,1
Phillip Danault #24,3089,2
James Mullinger,3087,1
Pâtisserie Michaud,3087,1
Dank Daoist Memes,3087,1
Marie-Claude Bibeau,3087,1
Maçonnex,3086,1
